xplane,yplane,xrocket,yrocket,vc,xnc,rtm,time
44812.91,13800.47,12247.54,4845.35,3952.41222969763,3183.8458578172,33824.5434529923,
44826.36,13800.47,12293.47,4863.375,3952.5050428939,3180.78281869657,33787.1801488298,
44837.86,13800.47,12340.73,4881.936,3952.59075241406,3177.95144469666,33749.2028474564,
44847.97,13800.46,12386.89,4900.02,3952.67449151801,3175.18258505163,33708.4648290018,
44856.21,13800.46,12433.83,4918.415,3952.75150557694,3172.63383655122,33667.1223291853,
44862.91,13800.46,12480.69,4936.755,3952.8253101347,3170.18927311469,33623.437792059,
44867.91,13800.46,12528.8,4955.598,3952.894301058,3167.90234485216,33578.2247397519,
44871.27,13800.46,12573.76,4973.133,3952.96052749825,3165.7054122283,33530.0881210847,
44872.86,13800.46,12619.96,4991.162,3953.01755091958,3163.81248036275,33483.6286044911,
44872.86,13800.46,12666.54,5009.335,3953.07189791825,3162.00727996945,33434.3147268113,
44872.86,13800.46,12713.39,5027.609,3953.12678378965,3160.18307466795,33384.5965885766,
44872.86,13800.46,12760.37,5045.926,3953.18206722016,3158.34453085027,33334.5848579919,
44872.86,13800.46,12807.39,5064.243,3953.2375456389,3156.49836523875,33284.4368840786,
44872.86,13800.46,12854.28,5082.497,3953.2930795802,3154.64920914728,33234.2606790128,
44872.86,13800.46,12900.4,5100.426,3953.34845690826,3152.80412734032,33184.2202654457,
44872.86,13800.46,12947.55,5118.762,3953.40278657783,3150.99284300391,33135.0064027031,
44872.86,13800.46,12993.92,5136.768,3953.45854950187,3149.13263168158,33084.6975030425,
44872.86,13800.46,13040.82,5154.975,3953.51324710712,3147.30683072703,33035.2271654427,
44872.86,13800.46,13086.75,5172.779,3953.56868262268,3145.45525665265,32985.2005201947,
44872.86,13800.46,13133.39,5190.861,3953.622802897,3143.64650155044,32936.2071454116,
44872.86,13800.46,13179.9,5208.875,3953.67792143499,3141.80325351361,32886.4547643276,
44872.86,13800.46,13226.66,5226.981,3953.73285918397,3139.9649146926,32836.8568526871,
44872.86,13800.46,13274.75,5245.618,3953.78816832185,3138.11300004333,32786.9866709683,
44872.86,13800.46,13320.45,5263.265,3953.84534840762,3136.19722699672,32735.6933576321,
44872.86,13800.46,13367.54,5281.469,3953.8992028882,3134.39174555191,32686.978920237,
44872.86,13800.46,13414.59,5299.643,3953.95501366389,3132.51952013495,32636.7666667699,
44872.86,13800.46,13460.36,5317.287,3954.01077661591,3130.64771894642,32586.606193577,
44872.86,13800.46,13507.17,5335.341,3954.06478091103,3128.83382445015,32537.819087906,
44872.86,13800.46,13553.48,5353.18,3954.12024182926,3126.96984935973,32487.9208848415,
44872.86,13800.46,13600.83,5371.428,3954.17502374133,3125.12754327738,32438.5612298866,
44872.86,13800.46,13648.09,5389.631,3954.23126154378,3123.23508321017,32388.0957951732,
44872.86,13800.46,13694.01,5407.276,3954.28740296311,3121.34465917896,32337.7194807725,
44872.86,13800.46,13740.85,5425.281,3954.34168407795,3119.51572723207,32288.7912406211,
44872.86,13800.46,13787.25,5443.097,3954.39725574154,3117.64213947696,32238.882573875,
44872.86,13800.46,13833.77,5460.947,3954.45223207146,3115.78745397883,32189.4471177887,
44872.86,13800.46,13880.95,5479.053,3954.50738210231,3113.92573787356,32139.8927487251,
44872.86,13800.46,13928.56,5497.322,3954.56346869031,3112.0312014572,32089.6339956203,
44872.86,13800.46,13974.9,5515.066,3954.62018201904,3110.11425699877,32038.9108991433,
44872.86,13800.46,14021.26,5532.803,3954.67513329618,3108.2556817839,31989.5545622898,
44872.86,13800.46,14068.05,5550.706,3954.73011636877,3106.39485764282,31940.1886681497,
44872.86,13800.46,14114.89,5568.612,3954.78573018896,3104.5114904382,31890.3531050018,
44872.86,13802.13,14161.67,5586.491,3954.82406678013,3103.21251653349,31840.9146478596,
44872.86,13805.47,14209.65,5604.845,3954.8450533438,3102.50117763613,31791.9581994005,
44872.86,13810.64,14256.18,5622.613,3954.84858557559,3102.38143584902,31742.2017370274,
44872.86,13817.31,14302.76,5640.408,3954.83453533721,3102.85770661864,31694.3883824712,
44872.86,13825.63,14349.29,5658.185,3954.80319967546,3103.91963598093,31646.9397361635,
